sample_id,variety,observable_id,species_id,source_species_code,source_value,source_unit,source_basis,canonical_value,canonical_unit,canonical_basis,uncertainty_value,uncertainty_type,uncertainty_scope,uncertainty_status,source_derived,protected_target,source_path,source_row_lineage
A11,Arabica,bioactives,acetic_acid,AA,4.67,g/L,directly_reported_beverage_volumetric_concentration,4.67,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,citric_acid,CA,8.89,g/L,directly_reported_beverage_volumetric_concentration,8.89,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,caffeine,CF,5.8,g/L,directly_reported_beverage_volumetric_concentration,5.8,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,ferulic_acid,FA,0.32,g/L,directly_reported_beverage_volumetric_concentration,0.32,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,tartaric_acid,TA,3.84,g/L,directly_reported_beverage_volumetric_concentration,3.84,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,trigonelline,TR,3.86,g/L,directly_reported_beverage_volumetric_concentration,3.86,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,total_chlorogenic_acids,totCQA,9.42,g/L,directly_reported_beverage_volumetric_concentration,9.42,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,bioactives,total_organic_acids,totOA,17.4,g/L,directly_reported_beverage_volumetric_concentration,17.4,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A11
A11,Arabica,lipids,total_lipids,LP,0.29,g/100 mL,directly_reported_beverage_volumetric_concentration,2.9,kg/m^3,beverage_volume,19.2,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/lipids.csv,A11
A11,Arabica,total_solids,,,10.21,g/100 mL,directly_reported_beverage_volumetric_concentration,102.10000000000001,kg/m^3,beverage_volume,4.5,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/total_solids.csv,A11
A12,Arabica,bioactives,3_caffeoylquinic_acid,3CQA,2.47,g/L,directly_reported_beverage_volumetric_concentration,2.47,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,3_5_dicaffeoylquinic_acid,3_5diCQA,0.27,g/L,directly_reported_beverage_volumetric_concentration,0.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,5_caffeoylquinic_acid,5CQA,4.53,g/L,directly_reported_beverage_volumetric_concentration,4.53,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,acetic_acid,AA,6.83,g/L,directly_reported_beverage_volumetric_concentration,6.83,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,citric_acid,CA,12.98,g/L,directly_reported_beverage_volumetric_concentration,12.98,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,caffeine,CF,4.76,g/L,directly_reported_beverage_volumetric_concentration,4.76,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,ferulic_acid,FA,0.25,g/L,directly_reported_beverage_volumetric_concentration,0.25,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,tartaric_acid,TA,3.17,g/L,directly_reported_beverage_volumetric_concentration,3.17,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,trigonelline,TR,3.13,g/L,directly_reported_beverage_volumetric_concentration,3.13,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,total_chlorogenic_acids,totCQA,7.26,g/L,directly_reported_beverage_volumetric_concentration,7.26,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,bioactives,total_organic_acids,totOA,22.98,g/L,directly_reported_beverage_volumetric_concentration,22.98,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A12
A12,Arabica,lipids,total_lipids,LP,0.33,g/100 mL,directly_reported_beverage_volumetric_concentration,3.3000000000000003,kg/m^3,beverage_volume,11.5,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/lipids.csv,A12
A12,Arabica,total_solids,,,8.79,g/100 mL,directly_reported_beverage_volumetric_concentration,87.89999999999999,kg/m^3,beverage_volume,2.2,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/total_solids.csv,A12
A13,Arabica,bioactives,3_caffeoylquinic_acid,3CQA,2.58,g/L,directly_reported_beverage_volumetric_concentration,2.58,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,3_5_dicaffeoylquinic_acid,3_5diCQA,0.27,g/L,directly_reported_beverage_volumetric_concentration,0.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,5_caffeoylquinic_acid,5CQA,4.79,g/L,directly_reported_beverage_volumetric_concentration,4.79,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,acetic_acid,AA,10.97,g/L,directly_reported_beverage_volumetric_concentration,10.97,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,citric_acid,CA,16.04,g/L,directly_reported_beverage_volumetric_concentration,16.04,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
A13,Arabica,bioactives,caffeine,CF,5.0,g/L,directly_reported_beverage_volumetric_concentration,5.0,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A13
