sample_id,variety,temperature_C_source,temperature_K,pressure_bar_source,pressure_Pa,pressure_reference,grind_code_source,source_on_grid,source_shot_duration_s,basket_radius_m,bed_height_m,dose_nominal_kg,dose_tolerance_kg,beverage_mass_nominal_kg,beverage_mass_tolerance_kg,tamp_condition,source_dataset_id,source_path,source_row_lineage
R24,Robusta,93.4,366.54999999999995,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R24
R25,Robusta,93.4,366.54999999999995,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R25
R26,Robusta,88.0,361.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R26
R27,Robusta,88.0,361.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R27
R28,Robusta,88.0,361.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R28
R29,Robusta,98.0,371.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R29
R3,Robusta,93.4,366.54999999999995,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R3
R30,Robusta,98.0,371.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R30
R31,Robusta,98.0,371.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,True,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R31
R32,Robusta,95.0,368.15,11.0,1100000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,False,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R32
R33,Robusta,90.0,363.15,8.0,800000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,F,False,35.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R33
R4,Robusta,88.0,361.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R4
R5,Robusta,88.0,361.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R5
R6,Robusta,88.0,361.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R6
R7,Robusta,98.0,371.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R7
R8,Robusta,98.0,371.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R8
R9,Robusta,98.0,371.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,R9
