source_publication_id,direction,rank,stable_id,screening_state,retrieval_date
pannusch2024,BACKWARD,5,https://openalex.org/W2090011930,SCREENED,2026-08-25
pannusch2024,BACKWARD,6,https://openalex.org/W2098905442,SCREENED,2026-08-25
pannusch2024,BACKWARD,7,https://openalex.org/W2152783510,SCREENED,2026-08-25
pannusch2024,BACKWARD,8,https://openalex.org/W2503676979,SCREENED,2026-08-25
pannusch2024,BACKWARD,9,https://openalex.org/W2505291553,SCREENED,2026-08-25
pannusch2024,BACKWARD,10,https://openalex.org/W2583975624,SCREENED,2026-08-25
pannusch2024,BACKWARD,11,https://openalex.org/W2586424076,SCREENED,2026-08-25
pannusch2024,BACKWARD,12,https://openalex.org/W2592785150,SCREENED,2026-08-25
pannusch2024,BACKWARD,13,https://openalex.org/W2796607480,SCREENED,2026-08-25
pannusch2024,BACKWARD,14,https://openalex.org/W2966157753,SCREENED,2026-08-25
pannusch2024,BACKWARD,15,https://openalex.org/W2995230276,SCREENED,2026-08-25
pannusch2024,BACKWARD,16,https://openalex.org/W3002824428,SCREENED,2026-08-25
pannusch2024,BACKWARD,17,https://openalex.org/W3007867326,SCREENED,2026-08-25
pannusch2024,BACKWARD,18,https://openalex.org/W4200012727,SCREENED,2026-08-25
pannusch2024,BACKWARD,19,https://openalex.org/W4297215629,SCREENED,2026-08-25
pannusch2024,BACKWARD,20,https://openalex.org/W4321374251,SCREENED,2026-08-25
pannusch2024,FORWARD,0,NO_RESULTS_RETURNED,SCREENED_NO_RESULTS,2026-08-25
schmieder2023,BACKWARD,1,https://openalex.org/W587274676,SCREENED,2026-08-25
schmieder2023,BACKWARD,2,https://openalex.org/W592275239,SCREENED,2026-08-25
schmieder2023,BACKWARD,3,https://openalex.org/W1925125092,SCREENED,2026-08-25
schmieder2023,BACKWARD,4,https://openalex.org/W1977679101,SCREENED,2026-08-25
schmieder2023,BACKWARD,5,https://openalex.org/W1985346603,SCREENED,2026-08-25
schmieder2023,BACKWARD,6,https://openalex.org/W1993983311,SCREENED,2026-08-25
schmieder2023,BACKWARD,7,https://openalex.org/W2000680430,SCREENED,2026-08-25
schmieder2023,BACKWARD,8,https://openalex.org/W2033706208,SCREENED,2026-08-25
schmieder2023,BACKWARD,9,https://openalex.org/W2047782990,SCREENED,2026-08-25
schmieder2023,BACKWARD,10,https://openalex.org/W2055909988,SCREENED,2026-08-25
schmieder2023,BACKWARD,11,https://openalex.org/W2063245357,SCREENED,2026-08-25
schmieder2023,BACKWARD,12,https://openalex.org/W2065424390,SCREENED,2026-08-25
schmieder2023,BACKWARD,13,https://openalex.org/W2066084411,SCREENED,2026-08-25
schmieder2023,BACKWARD,14,https://openalex.org/W2066215172,SCREENED,2026-08-25
schmieder2023,BACKWARD,15,https://openalex.org/W2066739203,SCREENED,2026-08-25
schmieder2023,BACKWARD,16,https://openalex.org/W2074919302,SCREENED,2026-08-25
schmieder2023,BACKWARD,17,https://openalex.org/W2090710724,SCREENED,2026-08-25
schmieder2023,BACKWARD,18,https://openalex.org/W2093096296,SCREENED,2026-08-25
schmieder2023,BACKWARD,19,https://openalex.org/W2125324884,SCREENED,2026-08-25
schmieder2023,BACKWARD,20,https://openalex.org/W2136360772,SCREENED,2026-08-25
schmieder2023,FORWARD,1,https://openalex.org/W7129190478,SCREENED,2026-08-25
schmieder2023,FORWARD,2,https://openalex.org/W4405195269,SCREENED,2026-08-25
schmieder2023,FORWARD,3,https://openalex.org/W4406741456,SCREENED,2026-08-25
schmieder2023,FORWARD,4,https://openalex.org/W4401326287,SCREENED,2026-08-25
schmieder2023,FORWARD,5,https://openalex.org/W4400650311,SCREENED,2026-08-25
schmieder2023,FORWARD,6,https://openalex.org/W7163067320,SCREENED,2026-08-25
schmieder2023,FORWARD,7,https://openalex.org/W4390222843,SCREENED,2026-08-25
schmieder2023,FORWARD,8,https://openalex.org/W4387574452,SCREENED,2026-08-25
schmieder2023,FORWARD,9,https://openalex.org/W4389506513,SCREENED,2026-08-25
schmieder2023,FORWARD,10,https://openalex.org/W4414280808,SCREENED,2026-08-25
schmieder2023,FORWARD,11,https://openalex.org/W4415023401,SCREENED,2026-08-25
schmieder2023,FORWARD,12,https://openalex.org/W7161248227,SCREENED,2026-08-25
schmieder2023,FORWARD,13,https://openalex.org/W7165011201,SCREENED,2026-08-25
schmieder2023,FORWARD,14,https://openalex.org/W7167077048,SCREENED,2026-08-25
