family,run_index,particle_size_um,distribution_density_pct
family_red,0,64.4,-0.1393
family_red,1,64.4,-0.1495
family_red,0,64.73,-0.1491
family_red,0,65.06,-0.1344
family_red,1,65.06,-0.1486
family_red,0,65.4,-0.1364
family_red,1,65.4,-0.1481
family_red,0,65.74,-0.1368
family_red,1,65.74,-0.1477
family_red,0,66.08,-0.1384
family_red,1,66.08,-0.147
family_red,0,66.42,-0.1398
family_red,1,66.42,-0.1427
family_red,2,66.42,-0.1461
family_red,0,66.76,-0.1443
family_red,0,67.1,-0.1457
family_red,0,67.45,-0.1459
family_red,0,67.8,-0.1461
family_red,0,68.15,-0.1466
family_red,0,68.5,-0.145
family_red,1,68.5,-0.1479
family_red,0,68.85,-0.1445
family_red,1,68.85,-0.1486
family_red,0,69.21,-0.1448
family_red,1,69.21,-0.1486
family_red,0,69.57,-0.1452
family_red,1,69.57,-0.1491
family_red,0,69.93,-0.1454
family_red,1,69.93,-0.1495
family_red,0,70.29,-0.1457
family_red,1,70.29,-0.1495
family_red,0,70.65,-0.1457
family_red,1,70.65,-0.1491
family_red,0,71.01,-0.1454
family_red,1,71.01,-0.1484
family_red,0,71.38,-0.1402
family_red,1,71.38,-0.1466
family_red,0,71.75,-0.1409
family_red,1,71.75,-0.1459
family_red,0,72.12,-0.1411
family_red,1,72.12,-0.1452
family_red,0,72.49,-0.1407
family_red,1,72.49,-0.1459
family_red,0,72.86,-0.1466
family_red,0,73.24,-0.1484
family_red,0,73.62,-0.1495
family_red,0,74.0,-0.1332
family_red,1,74.0,-0.1486
family_red,2,74.0,-0.1524
family_red,0,74.38,-0.133
family_red,1,74.38,-0.1511
family_red,0,74.76,-0.1522
family_red,0,75.15,-0.1538
family_red,0,75.54,-0.1488
family_red,1,75.54,-0.1515
family_red,2,75.54,-0.1565
family_red,0,75.93,-0.1509
family_red,1,75.93,-0.1583
family_red,0,76.32,-0.152
family_red,1,76.32,-0.1594
family_red,0,76.71,-0.1524
family_red,1,76.71,-0.1588
family_red,0,77.11,-0.1542
family_red,1,77.11,-0.1581
family_red,0,77.51,-0.1572
family_red,0,77.91,-0.1515
family_red,1,77.91,-0.1581
family_red,0,78.31,-0.1509
family_red,1,78.31,-0.1581
family_red,0,78.71,-0.152
family_red,1,78.71,-0.1608
family_red,0,79.12,-0.1509
family_red,1,79.12,-0.1626
family_red,0,79.53,-0.15
family_red,1,79.53,-0.1667
family_red,0,79.94,-0.15
family_red,1,79.94,-0.1674
family_red,0,80.35,-0.1495
family_red,1,80.35,-0.166
family_red,0,80.77,-0.1509
family_red,1,80.77,-0.1646
family_red,0,81.18,-0.1524
family_red,1,81.18,-0.1624
family_red,0,81.6,-0.1529
family_red,1,81.6,-0.161
family_red,0,82.02,-0.1561
family_red,1,82.02,-0.159
family_red,0,82.45,-0.1572
family_red,0,82.87,-0.1533
family_red,1,82.87,-0.1565
family_red,0,83.3,-0.1561
family_red,0,83.73,-0.1524
family_red,1,83.73,-0.1588
family_red,0,84.16,-0.1522
family_red,1,84.16,-0.1592
family_red,0,84.6,-0.1522
family_red,1,84.6,-0.1615
family_red,0,85.03,-0.1529
family_red,1,85.03,-0.1619
family_red,0,85.47,-0.1493
family_red,1,85.47,-0.1524
family_red,2,85.47,-0.1628
family_red,0,85.91,-0.1488
family_red,1,85.91,-0.1529
family_red,2,85.91,-0.1633
family_red,0,86.36,-0.1651
family_red,0,86.8,-0.1441
family_red,1,86.8,-0.166
family_red,0,87.25,-0.1685
family_red,0,87.7,-0.1698
family_red,0,88.15,-0.1305
family_red,1,88.15,-0.154
family_red,2,88.15,-0.171
family_red,0,88.61,-0.1305
family_red,1,88.61,-0.1536
family_red,2,88.61,-0.1705
family_red,0,89.06,-0.1341
family_red,1,89.06,-0.1495
family_red,2,89.06,-0.1685
family_red,0,89.52,-0.1344
family_red,1,89.52,-0.1375
family_red,2,89.52,-0.1484
family_red,3,89.52,-0.1674
family_red,0,89.99,-0.1649
family_red,0,90.45,-0.1637
family_red,1,90.45,-0.1669
family_red,0,90.92,-0.1622
family_red,1,90.92,-0.166
family_red,0,91.39,-0.1617
family_red,0,91.86,-0.1601
family_red,0,92.33,-0.1581
family_red,0,92.81,-0.1567
family_red,0,93.29,-0.1432
family_red,1,93.29,-0.1563
family_red,0,93.77,-0.147
family_red,1,93.77,-0.1538
family_red,2,93.77,-0.1563
family_red,0,94.25,-0.1481
family_red,1,94.25,-0.1561
family_red,0,94.74,-0.1524
family_red,0,95.23,-0.1527
family_red,0,95.72,-0.1538
family_red,1,95.72,-0.1583
family_red,0,96.21,-0.1538
family_red,1,96.21,-0.1583
family_red,0,96.71,-0.1597
family_red,0,97.21,-0.1606
family_red,0,97.71,-0.1538
family_red,1,97.71,-0.1604
family_red,0,98.21,-0.1533
family_red,1,98.21,-0.1594
family_red,0,98.72,-0.1502
family_red,1,98.72,-0.1563
family_red,0,99.23,-0.1486
family_red,1,99.23,-0.1533
family_red,0,99.74,-0.145
family_red,1,99.74,-0.1506
family_red,0,100.26,-0.1443
family_red,1,100.26,-0.1497
family_red,0,100.78,-0.1382
family_red,1,100.78,-0.1488
family_red,0,101.3,-0.1382
family_red,1,101.3,-0.1491
family_red,0,101.82,-0.1384
family_red,1,101.82,-0.1491
family_red,0,102.34,-0.1491
family_red,0,102.87,-0.1491
family_red,0,103.4,-0.1439
family_red,1,103.4,-0.1491
family_red,0,103.94,-0.1488
family_red,0,104.47,-0.1429
family_red,1,104.47,-0.1486
family_red,0,105.01,-0.1427
family_red,1,105.01,-0.1486
family_red,0,105.55,-0.1425
family_red,1,105.55,-0.1481
family_red,0,106.1,-0.1481
family_red,0,106.65,-0.1477
family_red,0,107.2,-0.1402
family_red,1,107.2,-0.1472
family_red,0,107.75,-0.1398
family_red,1,107.75,-0.1468
family_red,0,108.31,-0.1466
family_red,0,108.86,-0.1463
family_red,0,109.43,-0.1337
family_red,1,109.43,-0.1459
family_red,0,109.99,-0.1335
family_red,1,109.99,-0.1454
family_red,0,110.56,-0.133
family_red,1,110.56,-0.145
family_red,0,111.13,-0.1328
family_red,1,111.13,-0.1402
family_red,2,111.13,-0.1452
family_red,0,111.7,-0.1328
family_red,1,111.7,-0.1452
