time_s,line_pressure_bar,mass_g
39.0110,9.1423,22.6705
39.1040,9.1197,22.8372
39.1990,9.1370,23.0160
39.2920,9.0950,23.1948
39.3850,9.0823,23.3769
39.4780,9.0830,23.5557
39.5710,9.1062,23.7205
39.6650,9.1348,23.9113
39.7580,9.1295,24.0987
39.8510,9.0620,24.2832
39.9450,9.0500,24.4947
40.0380,9.0762,24.6331
40.1320,9.0868,24.7912
40.2250,9.1010,25.0002
40.3180,9.0710,25.1785
40.4110,9.0717,25.3544
40.5040,9.0860,25.5409
40.5980,9.0590,25.7288
40.6920,9.0695,25.9181
40.7850,9.0567,26.1079
40.8780,9.0980,26.2742
40.9710,9.1280,26.3891
41.0640,9.1017,26.5294
41.1580,9.0755,26.7048
41.2520,9.0538,26.8980
41.3450,9.0860,27.0522
41.4380,9.1182,27.1906
41.5310,9.1227,27.3651
41.6250,9.0928,27.5573
41.7180,9.0508,27.7443
41.8110,9.0928,27.9235
41.9050,9.0583,28.1489
41.9980,9.0680,28.3262
42.0910,9.0635,28.5189
42.1850,9.0688,28.7563
42.2780,9.0905,28.8880
42.3710,9.0725,29.0989
42.4640,9.0297,29.3037
42.5570,9.0312,29.4671
42.6520,9.0642,29.6694
42.7450,9.1040,29.8640
42.8380,9.1055,30.0135
42.9310,9.0552,30.2259
43.0240,9.0343,30.4349
43.1180,9.0590,30.5964
43.2110,9.0485,30.8059
43.3050,9.0777,30.9510
43.3980,9.0470,31.1533
43.4910,9.0500,31.3605
43.5840,9.0583,31.5210
43.6780,9.0328,31.6882
43.7710,9.0425,31.8627
43.8650,9.0282,32.0198
43.9580,9.0695,32.1832
44.0510,9.0875,32.3499
44.1450,9.0913,32.5398
44.2380,9.0598,32.7599
44.3310,9.0343,32.9223
44.4240,9.0762,33.1227
44.5180,9.0958,33.3514
44.6120,9.1190,33.6595
44.7050,9.1017,33.8940
44.7980,9.0642,34.0780
44.8910,9.0965,34.2784
44.9840,9.0725,34.4481
45.0770,9.0732,34.6485
45.1720,9.0755,34.8541
45.2650,9.0800,35.0185
45.3580,9.1108,35.2150
45.4510,9.0823,35.4068
45.5440,9.0297,35.6106
45.6380,9.0328,35.8153
45.7310,9.0478,35.9830
45.8240,9.1070,36.1579
45.9180,9.1040,36.3521
46.0110,9.0710,36.5063
46.1050,9.0560,36.7250
46.1980,9.0845,36.9585
46.2910,9.0785,37.1661
46.3840,9.1152,37.3511
46.4770,9.0913,37.5564
46.5710,9.1040,37.7678
46.6650,9.1265,37.9490
46.7580,9.1048,38.1297
46.8510,9.0747,38.3349
46.9440,9.0545,38.5252
47.0370,9.1100,38.7058
47.1310,9.1190,38.9178
47.2250,9.1325,39.1153
47.3180,9.0973,39.2796
47.4110,9.0650,39.4546
47.5040,9.0995,39.6309
47.5980,9.0883,39.8424
47.6910,9.1325,40.0793
47.7840,9.1175,40.2922
47.8780,9.1017,40.5142
47.9710,9.1295,40.7430
48.0640,9.0935,40.9534
48.1580,9.0898,41.1082
48.2510,9.0958,41.2826
48.3440,9.1167,41.4652
48.4370,9.1415,41.6613
48.5310,9.1355,41.8401
48.6250,9.0905,42.0645
48.7180,9.0642,42.2490
48.8110,9.0928,42.4163
48.9040,9.1122,42.6085
48.9970,9.1205,42.8098
49.0910,9.1002,42.9896
49.1850,9.1040,43.1530
49.2780,9.1152,43.3063
49.3710,9.0995,43.5047
