# GENERATED by puckworks.analysis.lateral_coupling_discrimination --write; do not hand-edit.
case_id,lambda,G_lat,g_axial_reference,p1_over_Pin,p2_over_Pin,pressure_gap_over_Pin,gap_remaining_fraction,pressure_gap_class,Q_over_Q0,effective_conductance_ratio,q_lat_1to2,q_lat_over_Q,inlet_share_1,outlet_share_1,depthwise_share_transfer_1,p_required_physical_over_uncoupled,alpha_star_share,min_share_residual,exact_share_match_exists,completion_Q_residual,completion_Q_matchable,mathematically_distinguishable,global_residual,condition_number
bottom_contrast_only,1.0,0.625,0.625,0.276595745,0.446808511,0.170212766,0.680851064,pressure_gap_transition,1.021276596,1.021276596,-95744.680851064,-0.083333333,0.566666667,0.65,0.083333333,0.979166667,0.0,0.05,False,0.021276596,False,True,0.0,1.964323013
bottom_contrast_only,2.0,1.25,0.625,0.290322581,0.419354839,0.129032258,0.516129032,pressure_gap_transition,1.032258065,1.032258065,-145161.290322581,-0.125,0.55,0.675,0.125,0.96875,0.0,0.075,False,0.032258065,False,True,0.0,2.208492839
bottom_contrast_only,5.0,3.125,0.625,0.308411215,0.38317757,0.074766355,0.299065421,pressure_gap_transition,1.046728972,1.046728972,-210280.373831776,-0.178571429,0.528571429,0.707142857,0.178571429,0.955357143,0.0,0.107142857,False,0.046728972,False,True,0.0,3.307466899
bottom_contrast_only,10.0,6.25,0.625,0.318681319,0.362637363,0.043956044,0.175824176,pressure_gap_transition,1.054945055,1.054945055,-247252.747252747,-0.208333333,0.516666667,0.725,0.208333333,0.947916667,0.0,0.125,False,0.054945055,False,True,0.0,5.334519722
bottom_contrast_only,100.0,62.5,0.625,0.331592689,0.336814621,0.005221932,0.020887728,pressure_gap_homogenized,1.065274151,1.065274151,-293733.681462141,-0.245098039,0.501960784,0.747058824,0.245098039,0.93872549,0.0,0.147058824,False,0.065274151,False,True,0.0,42.783414969
general_asymmetric,0.0,0.0,0.802083333,0.833333333,0.375,0.458333333,1.0,pressure_gap_unchanged,1.0,1.0,0.0,0.0,0.415584416,0.415584416,0.0,1.0,0.0,0.0,True,0.0,True,False,0.0,1.2
general_asymmetric,0.01,0.008020833,0.802083333,0.83257026,0.375915688,0.456654573,0.99633725,pressure_gap_unchanged,1.0010465,1.0010465,3296.475197516,0.002280886,0.417050699,0.414769813,-0.002280886,0.998954594,0.0,0.000814602,False,0.0010465,False,True,-1e-09,1.19964389
general_asymmetric,0.05,0.040104167,0.802083333,0.82957306,0.379512328,0.450060733,0.981950689,pressure_gap_unchanged,1.005156946,1.005156946,16244.379568266,0.011193793,0.422780425,0.411586633,-0.011193793,0.994869512,0.0,0.003997783,False,0.005156946,False,True,-1e-09,1.199106276
general_asymmetric,0.1,0.080208333,0.802083333,0.825946121,0.383864654,0.442081467,0.964541382,pressure_gap_unchanged,1.010131034,1.010131034,31912.755892326,0.021882382,0.429651661,0.407769279,-0.021882382,0.989970575,0.0,0.007815136,False,0.010131034,False,True,-1e-09,1.200362396
general_asymmetric,0.25,0.200520833,0.802083333,0.815797973,0.396042433,0.41975554,0.915830269,pressure_gap_transition,1.024048494,1.024048494,75752.75762695,0.051237263,0.448522656,0.397285393,-0.051237263,0.976516254,0.0,0.018299023,False,0.024048494,False,True,-0.0,1.215477381
