t_over_tnu,Dr=0.0005,Dr=0.0010,Dr=0.0050,Dr=0.0200
113.5,0.041875,0.050239,0.065312,0.077307
114.0,0.041783,0.050086,0.065221,0.077108
114.5,0.041783,0.050055,0.065129,0.076985
115.0,0.041783,0.050025,0.065037,0.076832
115.5,0.041783,0.049902,0.064914,0.076648
116.0,0.041737,0.049871,0.064761,0.07648
116.5,0.041691,0.049871,0.064638,0.076373
117.0,0.041691,0.049733,0.064531,0.07625
117.5,0.041691,0.049687,0.064424,0.076097
118.0,0.041645,0.049687,0.064347,0.075928
118.5,0.041599,0.049534,0.06421,0.07579
119.0,0.041599,0.049504,0.064056,0.075668
119.5,0.041599,0.049504,0.064026,0.075515
120.0,0.041538,0.049381,0.063842,0.075362
120.5,0.041507,0.04932,0.06375,0.075193
121.0,0.041507,0.04932,0.063658,0.075086
121.5,0.041415,0.049182,0.06352,0.074963
122.0,0.041415,0.049136,0.063444,0.07481
122.5,0.041415,0.049105,0.06329,0.074626
123.0,0.041415,0.048952,0.063199,0.074504
123.5,0.041324,0.048952,0.063076,0.074381
124.0,0.041324,0.048952,0.062923,0.074228
124.5,0.041293,0.048799,0.062862,0.074075
125.0,0.041232,0.048768,0.062739,0.073998
125.5,0.041232,0.048738,0.062647,0.07383
126.0,0.041232,0.048585,0.062525,0.073646
126.5,0.041232,0.048585,0.062417,0.073585
127.0,0.04114,0.048554,0.062371,0.073401
127.5,0.04114,0.048401,0.062187,0.073217
128.0,0.041048,0.048401,0.062126,0.073125
128.5,0.041048,0.048355,0.062004,0.072987
129.0,0.041048,0.048217,0.061912,0.07288
129.5,0.041002,0.048217,0.06182,0.072757
130.0,0.040956,0.048156,0.061667,0.072604
130.5,0.040925,0.048033,0.061605,0.07242
131.0,0.040864,0.048033,0.061452,0.072344
131.5,0.040864,0.047941,0.06136,0.072206
132.0,0.040864,0.047849,0.061268,0.072068
132.5,0.040803,0.047849,0.061176,0.071991
133.0,0.040772,0.047757,0.061085,0.071792
133.5,0.04068,0.047665,0.060962,0.071685
134.0,0.04068,0.047665,0.060839,0.071501
134.5,0.04068,0.047528,0.060717,0.071425
135.0,0.040619,0.047482,0.060594,0.071256
135.5,0.040588,0.047482,0.060533,0.071149
136.0,0.040558,0.047359,0.060441,0.071042
136.5,0.040496,0.047298,0.060349,0.070919
137.0,0.040496,0.047298,0.060257,0.070766
137.5,0.040404,0.047145,0.060135,0.070613
138.0,0.040404,0.047114,0.059982,0.070506
138.5,0.040312,0.047083,0.05992,0.070398
139.0,0.040312,0.04693,0.059798,0.070276
