omega,T_degC,refractive_index_nD20,density_kg_m-3,thermal_conductivity_W_m-1_degC-1
0.43,25,1.42382,1190.752,0.46565
0.43,40,1.42382,1179.266,0.48204
0.43,60,1.42382,1160.409,0.50077
0.43,80,1.42382,1137.487,0.51595
0.43,95,1.42382,1117.612,0.52499
0.44,20,1.42632,1199.568,0.45651
0.44,25,1.42632,1196.172,0.46238
0.44,40,1.42632,1184.46,0.47865
0.44,60,1.42632,1165.285,0.49725
0.44,80,1.42632,1142.024,0.51232
0.44,95,1.42632,1121.88,0.52129
0.45,20,1.42884,1205.11,0.45328
0.45,25,1.42884,1201.641,0.4591
0.45,40,1.42884,1189.701,0.47526
0.45,60,1.42884,1170.203,0.49373
0.45,80,1.42884,1146.597,0.50869
0.45,95,1.42884,1126.181,0.5176
0.46,20,1.43138,1210.704,0.45004
0.46,25,1.43138,1207.16,0.45583
0.46,40,1.43138,1194.988,0.47187
0.46,60,1.43138,1175.163,0.49021
0.46,80,1.43138,1151.208,0.50506
0.46,95,1.43138,1130.515,0.51391
0.47,20,1.43394,1216.35,0.44681
0.47,25,1.43394,1212.73,0.45255
0.47,40,1.43394,1200.323,0.46848
0.47,60,1.43394,1180.164,0.48669
0.47,80,1.43394,1155.855,0.50143
0.47,95,1.43394,1134.883,0.51022
0.48,20,1.43652,1222.049,0.44358
0.48,25,1.43652,1218.351,0.44928
0.48,40,1.43652,1205.705,0.46509
0.48,60,1.43652,1185.209,0.48316
0.48,80,1.43652,1160.54,0.4978
0.48,95,1.43652,1139.284,0.50653
0.49,20,1.43911,1227.802,0.44034
0.49,25,1.43911,1224.026,0.446
0.49,40,1.43911,1211.136,0.4617
0.49,60,1.43911,1190.296,0.47964
0.49,80,1.43911,1165.263,0.49417
0.49,95,1.43911,1143.72,0.50283
0.5,20,1.44172,1233.609,0.43711
0.5,25,1.44172,1229.753,0.44273
0.5,40,1.44172,1216.615,0.45831
0.5,60,1.44172,1195.428,0.47612
0.5,80,1.44172,1170.025,0.49055
0.5,95,1.44172,1148.19,0.49914
