omega,T_degC,kappa_eq9_S_m-1,kappa_eq10_modified_casteel_amis_S_m-1
0.59,60,1.18091,1.167797
0.59,70,1.454268,1.40047
0.59,72,1.514068,1.449013
0.6,25,0.460834,0.449482
0.6,30,0.531225,0.530268
0.6,40,0.69089,0.703192
0.6,50,0.878885,0.891601
0.6,60,1.099445,1.09588
0.6,70,1.357389,1.316371
0.6,72,1.413933,1.362442
0.61,25,0.424245,0.418473
0.61,30,0.489531,0.494101
0.61,40,0.638065,0.656329
0.61,50,0.813624,0.833565
0.61,60,1.02036,1.026233
0.61,70,1.263013,1.234726
0.61,72,1.316317,1.278355
0.62,25,0.389259,0.388787
0.62,30,0.449601,0.459437
0.62,40,0.587308,0.611306
0.62,50,0.750708,0.777673
0.62,60,0.943857,0.959
0.62,70,1.171399,1.155719
0.62,72,1.22149,1.196945
0.63,25,0.355927,0.360451
0.63,30,0.411499,0.426312
0.63,40,0.538716,0.568181
0.63,50,0.690272,0.724011
0.63,60,0.870114,0.894297
0.63,70,1.082781,1.079504
0.63,72,1.129699,1.118376
0.64,25,0.324291,0.333483
0.64,30,0.375277,0.394748
0.64,40,0.492368,0.526995
0.64,50,0.63243,0.672645
0.64,60,0.799292,0.832218
0.64,70,0.99737,1.00621
0.64,72,1.041166,1.042781
0.65,25,0.294379,0.307889
0.65,30,0.340972,0.36476
0.65,40,0.448327,0.487776
0.65,50,0.577279,0.62362
0.65,60,0.731526,0.772833
0.65,70,0.915351,0.935937
0.65,72,0.956089,0.970269
0.66,25,0.266207,0.283667
0.66,30,0.308611,0.336347
0.66,40,0.406641,0.450535
0.66,50,0.524894,0.576965
0.66,60,0.66693,0.716192
0.66,70,0.836885,0.868759
0.66,72,0.874637,0.90092
0.67,25,0.239782,0.260808
0.67,30,0.278206,0.309504
0.67,40,0.367341,0.415273
0.67,50,0.475334,0.53269
0.67,60,0.605596,0.662322
0.67,70,0.762108,0.804726
0.67,72,0.796956,0.834788
0.68,25,0.215097,0.239293
0.68,30,0.249758,0.284211
0.68,40,0.330442,0.381975
0.68,50,0.428636,0.490791
0.68,60,0.547593,0.611232
0.68,70,0.691128,0.743866
0.68,72,0.723165,0.771905
0.69,25,0.192139,0.219097
0.69,30,0.223254,0.260444
0.69,40,0.295947,0.350619
0.69,50,0.384821,0.451251
0.69,60,0.492969,0.562914
0.69,70,0.624028,0.686182
0.69,72,0.653353,0.712278
0.7,25,0.170882,0.20019
0.7,30,0.198672,0.23817
0.7,40,0.26384,0.32117
0.7,50,0.34389,0.414036
0.7,60,0.441746,0.517341
0.7,70,0.560864,0.63166
0.7,72,0.587586,0.655896
0.71,25,0.15129,0.182537
0.71,30,0.175979,0.21735
0.71,40,0.234094,0.293586
0.71,50,0.305827,0.379105
0.71,60,0.39393,0.474474
0.71,70,0.501667,0.580267
0.71,72,0.5259,0.602727
0.72,25,0.13332,0.166096
0.72,30,0.155129,0.197941
0.72,40,0.206666,0.267817
0.72,50,0.270598,0.346403
0.72,60,0.3495,0.43426
0.72,70,0.446443,0.531954
0.72,72,0.468307,0.552724
0.73,25,0.116922,0.150824
0.73,30,0.13607,0.179892
0.73,40,0.181504,0.243805
0.73,50,0.238154,0.315869
0.73,60,0.308419,0.396634
0.73,70,0.395171,0.486657
0.73,72,0.414791,0.505823
0.74,25,0.102036,0.136674
0.74,30,0.11874,0.163152
0.74,40,0.15854,0.221488
0.74,50,0.208429,0.287432
0.74,60,0.270628,0.361521
0.74,70,0.347808,0.444299
0.74,72,0.365314,0.461947
0.75,25,0.088596,0.123596
0.75,30,0.103068,0.147665
0.75,40,0.137698,0.2008
0.75,50,0.181345,0.261017
0.75,60,0.236051,0.328837
0.75,70,0.304287,0.404792
0.75,72,0.31981,0.421007
0.76,25,0.076533,0.11154
0.76,30,0.088978,0.133373
0.76,40,0.118892,0.181669
0.76,50,0.156808,0.236541
0.76,60,0.204594,0.298493
0.76,70,0.26452,0.368039
0.76,72,0.278195,0.382907
0.77,25,0.06577,0.100453
0.77,30,0.076388,0.120217
0.77,40,0.102026,0.164023
0.77,50,0.134715,0.21392
0.77,60,0.176148,0.270391
0.77,70,0.228398,0.333935
