reference_pressure_round__bar,shot_id,window,n_samples,basket_pressure__bar,mass_flow_rate__g_per_s
6.00000,6-5,endpoint_100s,2,5.50048,1.89954
6.00000,6-5,mean_90_100s,107,5.56126,1.96745
6.00000,6-5,mean_110_120s,107,5.57899,1.99995
6.00000,6-6,endpoint_100s,2,5.56434,2.17602
6.00000,6-6,mean_90_100s,107,5.56767,2.19503
6.00000,6-6,mean_110_120s,100,4.68528,1.63451
7.00000,7-1,endpoint_100s,2,6.73947,1.99020
7.00000,7-1,mean_90_100s,107,6.68106,2.00573
7.00000,7-1,mean_110_120s,69,6.72430,1.97891
7.00000,7-2,endpoint_100s,2,6.75578,1.84961
7.00000,7-2,mean_90_100s,107,6.75267,1.85928
7.00000,7-2,mean_110_120s,107,6.75330,1.84454
7.00000,7-3,endpoint_100s,2,6.74014,1.92239
7.00000,7-3,mean_90_100s,107,6.74480,1.94135
7.00000,7-3,mean_110_120s,107,6.71786,1.95322
7.00000,7-4,endpoint_100s,2,6.74888,1.98272
7.00000,7-4,mean_90_100s,107,6.69936,1.98039
7.00000,7-4,mean_110_120s,84,6.72863,2.01584
8.00000,8-1,endpoint_100s,2,7.53964,1.78422
8.00000,8-1,mean_90_100s,107,7.63136,1.74839
8.00000,8-1,mean_110_120s,107,7.60705,1.76459
8.00000,8-1b,endpoint_100s,2,7.44207,1.78113
8.00000,8-1b,mean_90_100s,107,7.45533,1.81189
8.00000,8-1b,mean_110_120s,107,6.22147,1.55648
8.00000,8-2,endpoint_100s,2,7.60197,1.77573
8.00000,8-2,mean_90_100s,107,7.59535,1.75381
8.00000,8-2,mean_110_120s,91,5.34685,1.03522
8.00000,8-3,endpoint_100s,3,7.58003,1.93196
8.00000,8-3,mean_90_100s,108,7.58307,1.95723
8.00000,8-3,mean_110_120s,102,6.46157,1.59456
9.00000,9-1,endpoint_100s,3,8.65592,1.97632
9.00000,9-1,mean_90_100s,108,8.69232,1.99446
9.00000,9-1,mean_110_120s,104,-106.55467,-29.57944
9.00000,9-2,endpoint_100s,2,8.77362,1.80849
9.00000,9-2,mean_90_100s,107,8.71036,1.84562
