sample_label,origin,species_common,species_scientific,roast_profile,compound,compound_code,mean,sd,unit,basis,n_measurements,source_doi,source_table,source_url,license,notes
Mix Indonesia,Indonesia,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Tartaric acid,TA,42.18,1.38,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Mexico,Mexico,Arabica,Coffea arabica L.,medium,Citric acid,CA,134.41,6.19,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,Citric acid,CA,125.17,4.10,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Nicaragua,Nicaragua,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Citric acid,CA,258.96,1.96,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Indonesia,Indonesia,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Citric acid,CA,280.93,3.56,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Mexico,Mexico,Arabica,Coffea arabica L.,medium,Acetic acid,AA,403.66,1.14,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,Acetic acid,AA,456.24,4.53,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Nicaragua,Nicaragua,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Acetic acid,AA,671.21,2.01,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Indonesia,Indonesia,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Acetic acid,AA,693.39,7.04,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Mexico,Mexico,Arabica,Coffea arabica L.,medium,Lipids,LP,11.00,1.35,% w/w,dry-weight basis,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,Lipids,LP,12.30,1.84,% w/w,dry-weight basis,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Nicaragua,Nicaragua,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Lipids,LP,7.10,1.56,% w/w,dry-weight basis,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Indonesia,Indonesia,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Lipids,LP,10.20,2.83,% w/w,dry-weight basis,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
