exp,rep,doe_role,target_flow_ml_s,scale_flow_ml_s,grind_level,target_temp_C,decent_temp_C,pressure_max_bar,component,brew_ratio,mass_in_cup,mass_units,conc_in_cup
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,5-CQA,1/1,81.30554,mg,4.065277
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,5-CQA,1/2,108.18552,mg,2.704638
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,5-CQA,1/3,117.07216,mg,1.9512026666666666
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,TDS,1/1,2.81289,g,0.1406445
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,TDS,1/2,3.54867,g,0.08871675
3.0,1.0,DoE Axis Point,2.0,1.91536,1.4,89.0,88.55693,3.98,TDS,1/3,3.74114,g,0.062352333333333336
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,trigonelline,1/1,69.87328,mg,3.493664
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,trigonelline,1/2,89.56491,mg,2.23912275
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,trigonelline,1/3,95.11439,mg,1.5852398333333333
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,caffeine,1/1,125.52464,mg,6.276232
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,caffeine,1/2,177.97276,mg,4.449319
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,caffeine,1/3,199.88723,mg,3.3314538333333332
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,5-CQA,1/1,78.28155,mg,3.9140775
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,5-CQA,1/2,107.73328,mg,2.693332
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,5-CQA,1/3,118.81386,mg,1.980231
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,TDS,1/1,2.74346,g,0.137173
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,TDS,1/2,3.64294,g,0.0910735
3.0,2.0,DoE Axis Point,2.0,1.9189,1.4,89.0,88.41006,4.06,TDS,1/3,3.93784,g,0.06563066666666667
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,trigonelline,1/1,73.85137,mg,3.6925685
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,trigonelline,1/2,94.11582,mg,2.3528955
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,trigonelline,1/3,99.67629,mg,1.6612715
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,caffeine,1/1,129.27968,mg,6.463984000000001
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,caffeine,1/2,182.59931,mg,4.56498275
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,caffeine,1/3,204.59025,mg,3.4098375
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,5-CQA,1/1,84.31503,mg,4.2157515
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,5-CQA,1/2,115.71185,mg,2.89279625
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,5-CQA,1/3,127.40324,mg,2.123387333333333
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,TDS,1/1,2.88078,g,0.144039
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,TDS,1/2,3.76869,g,0.09421725
3.0,3.0,DoE Axis Point,2.0,1.92925,1.4,89.0,88.51687,3.68,TDS,1/3,4.04236,g,0.06737266666666668
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,trigonelline,1/1,79.78454,mg,3.9892270000000005
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,trigonelline,1/2,102.45413,mg,2.5613532500000002
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,trigonelline,1/3,108.89536,mg,1.8149226666666667
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,caffeine,1/1,128.86197,mg,6.4430985000000005
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,caffeine,1/2,182.12173,mg,4.55304325
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,caffeine,1/3,204.59025,mg,3.4098375
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,5-CQA,1/1,89.36036,mg,4.468018
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,5-CQA,1/2,122.90249,mg,3.07256225
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,5-CQA,1/3,135.49279,mg,2.2582131666666667
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,TDS,1/1,2.99455,g,0.14972749999999999
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,TDS,1/2,3.93492,g,0.098373
4.0,1.0,DoE Axis Point,2.0,1.99666,2.0,89.0,88.49475,3.45,TDS,1/3,4.23022,g,0.07050366666666667
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,trigonelline,1/1,77.25265,mg,3.8626325
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,trigonelline,1/2,99.82213,mg,2.49555325
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,trigonelline,1/3,106.41584,mg,1.7735973333333335
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,caffeine,1/1,130.41278,mg,6.520639
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,caffeine,1/2,185.75981,mg,4.64399525
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,caffeine,1/3,209.24902,mg,3.487483666666667
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,5-CQA,1/1,88.45805,mg,4.4229025
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,5-CQA,1/2,122.78407,mg,3.06960175
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,5-CQA,1/3,136.10423,mg,2.268403833333333
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,TDS,1/1,2.99262,g,0.14963100000000001
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,TDS,1/2,3.92989,g,0.09824725
4.0,2.0,DoE Axis Point,2.0,2.00027,2.0,89.0,88.66719,3.32,TDS,1/3,4.22343,g,0.0703905
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,trigonelline,1/1,76.92705,mg,3.8463524999999996
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,trigonelline,1/2,98.73953,mg,2.46848825
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,trigonelline,1/3,104.92441,mg,1.7487401666666667
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,caffeine,1/1,128.88375,mg,6.4441875
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,caffeine,1/2,183.31685,mg,4.58292125
4.0,3.0,DoE Axis Point,2.0,1.98976,2.0,89.0,88.69106,3.23,caffeine,1/3,206.30627,mg,3.4384378333333334
