exp,rep,component,c0_units,c0,c0_se,lambda_g,lambda_se,reduced_chisqr,adj_r2
11.0,2.0,trigonelline,mg_g,7.59417,0.24222,14.78596,0.7942,0.03137,0.99425
11.0,2.0,caffeine,mg_g,10.45191,0.22692,20.85657,0.83231,0.03886,0.99597
11.0,2.0,5-CQA,mg_g,7.54766,0.17824,19.35419,0.8227,0.0224,0.99565
11.0,2.0,TDS,g_g,0.28895,0.00613,15.34467,0.55326,2.09547e-05,0.99727
11.0,3.0,trigonelline,mg_g,7.57148,0.29377,15.01944,0.93041,0.03791,0.99258
11.0,3.0,caffeine,mg_g,10.50661,0.32159,20.95313,1.11955,0.06587,0.99315
11.0,3.0,5-CQA,mg_g,7.53678,0.23503,19.30701,1.02708,0.03233,0.99354
11.0,3.0,TDS,g_g,0.2756,0.00885,16.23574,0.84893,3.77306e-05,0.99434
12.0,1.0,trigonelline,mg_g,6.58645,0.53894,14.8659,2.06767,0.14276,0.96207
12.0,1.0,caffeine,mg_g,9.66021,0.63395,22.50607,2.79233,0.30615,0.96221
12.0,1.0,5-CQA,mg_g,6.39907,0.46759,19.99956,2.67756,0.14854,0.95882
12.0,1.0,TDS,g_g,0.24392,0.02291,16.13808,2.63075,0.000283585,0.94554
12.0,2.0,trigonelline,mg_g,5.81074,0.68152,16.35866,3.18291,0.20851,0.92562
12.0,2.0,caffeine,mg_g,8.36215,0.76506,24.90385,4.20462,0.42111,0.92976
12.0,2.0,5-CQA,mg_g,5.69481,0.60164,21.98188,4.14872,0.22923,0.91824
12.0,2.0,TDS,g_g,0.21037,0.02427,18.66382,3.69292,0.00031043,0.91821
12.0,3.0,trigonelline,mg_g,5.88969,0.6775,16.08859,2.666,0.14377,0.93756
12.0,3.0,caffeine,mg_g,8.65811,0.75811,24.37603,3.52898,0.30625,0.94242
12.0,3.0,5-CQA,mg_g,5.81812,0.61619,21.3072,3.5618,0.17282,0.92771
12.0,3.0,TDS,g_g,0.21516,0.02655,18.40633,3.41647,0.000266111,0.91667
13.0,1.0,trigonelline,mg_g,6.74727,0.51219,15.0741,1.99295,0.13181,0.96854
13.0,1.0,caffeine,mg_g,9.87461,0.6048,22.89843,2.64957,0.28163,0.96938
13.0,1.0,5-CQA,mg_g,6.76177,0.49574,20.02895,2.70232,0.16667,0.96148
13.0,1.0,TDS,g_g,0.25496,0.02206,16.65332,2.55953,0.000272705,0.95498
13.0,2.0,trigonelline,mg_g,6.09084,0.50307,17.08669,2.06411,0.08065,0.96942
13.0,2.0,caffeine,mg_g,9.25857,0.58934,24.8583,2.58603,0.18047,0.9723
13.0,2.0,5-CQA,mg_g,6.22831,0.50321,21.86101,2.77663,0.11268,0.96131
13.0,2.0,TDS,g_g,0.23053,0.01931,19.2126,2.43537,0.000140052,0.96421
13.0,3.0,trigonelline,mg_g,6.509,0.53002,15.05324,2.04425,0.13483,0.96291
13.0,3.0,caffeine,mg_g,9.74406,0.61623,22.28556,2.5418,0.27644,0.96647
13.0,3.0,5-CQA,mg_g,6.48264,0.49092,19.93238,2.65817,0.15752,0.95717
13.0,3.0,TDS,g_g,0.23912,0.02107,17.39632,2.62837,0.000251388,0.94985
14.0,1.0,trigonelline,mg_g,6.13015,0.33411,17.32369,1.42185,0.04256,0.98476
14.0,1.0,caffeine,mg_g,8.55265,0.39667,24.99099,1.95786,0.09261,0.9829
14.0,1.0,5-CQA,mg_g,6.18615,0.32999,22.24555,1.9284,0.05647,0.98035
14.0,1.0,TDS,g_g,0.2191,0.01322,18.9634,1.76992,7.48855e-05,0.97938
14.0,2.0,trigonelline,mg_g,6.73761,0.35074,16.02128,1.3529,0.05671,0.98505
14.0,2.0,caffeine,mg_g,9.33101,0.40898,23.34012,1.8339,0.11579,0.98383
14.0,2.0,5-CQA,mg_g,6.53371,0.30703,20.90013,1.7065,0.05849,0.98364
14.0,2.0,TDS,g_g,0.23162,0.01271,17.70556,1.61662,8.37522e-05,0.98158
14.0,3.0,trigonelline,mg_g,6.44867,0.28065,16.90389,1.16027,0.0342,0.98984
14.0,3.0,caffeine,mg_g,9.12094,0.32816,24.45979,1.53774,0.07044,0.98935
14.0,3.0,5-CQA,mg_g,6.28826,0.26095,21.78298,1.52615,0.03959,0.98764
14.0,3.0,TDS,g_g,0.22483,0.01134,18.73715,1.53117,6.32133e-05,0.98467
15.0,1.0,trigonelline,mg_g,6.74962,0.19716,16.24362,0.85643,0.02631,0.99388
15.0,1.0,caffeine,mg_g,9.6327,0.23085,23.28135,1.09859,0.04917,0.99379
15.0,1.0,5-CQA,mg_g,6.94813,0.19533,20.76414,1.11384,0.03218,0.99252
15.0,1.0,TDS,g_g,0.24931,0.00988,17.33981,1.2576,7.03314e-05,0.98778
15.0,2.0,trigonelline,mg_g,6.39424,0.31709,16.96085,1.24591,0.0369,0.98761
15.0,2.0,caffeine,mg_g,9.39283,0.34517,24.72992,1.51459,0.06864,0.9893
15.0,2.0,5-CQA,mg_g,6.52625,0.30813,21.93657,1.65829,0.048,0.98469
15.0,2.0,TDS,g_g,0.24196,0.01399,18.24595,1.59638,7.90936e-05,0.98152
15.0,3.0,trigonelline,mg_g,6.58027,0.32679,16.34461,1.25242,0.04217,0.98755
15.0,3.0,caffeine,mg_g,9.22807,0.42912,23.64443,1.88088,0.11203,0.98333
15.0,3.0,5-CQA,mg_g,6.66267,0.35245,20.94007,1.82868,0.06629,0.98119
15.0,3.0,TDS,g_g,0.24157,0.01431,17.76703,1.66054,8.9915e-05,0.98055
