exp,flow_set_ml_s,grind_level_set,temp_set_C,rep,fraction,mass_fraction_g,mass_accumulated_g,c_trigonelline_mg_g,c_caffeine_mg_g,c_5cqa_mg_g
5.0,2.0,1.7,80.0,1.0,7.0,5.17,37.315,0.78826,2.01207,1.2042
5.0,2.0,1.7,80.0,1.0,10.0,5.4116,52.9218,0.34295,1.18932,0.65918
5.0,2.0,1.7,80.0,2.0,1.0,6.6346,3.3173,6.08647,9.1913,6.19461
5.0,2.0,1.7,80.0,2.0,2.0,6.2847,9.77695,3.41127,5.98425,3.88795
5.0,2.0,1.7,80.0,2.0,3.0,5.9041,15.87135,2.4476,4.57403,2.95741
5.0,2.0,1.7,80.0,2.0,5.0,5.522,27.2331,1.37912,3.05514,1.87691
5.0,2.0,1.7,80.0,2.0,7.0,5.1744,38.1392,0.80641,2.06924,1.25958
5.0,2.0,1.7,80.0,2.0,10.0,5.5284,54.0857,0.34271,1.23689,0.68536
5.0,2.0,1.7,80.0,3.0,1.0,6.7238,3.3619,5.80585,8.43358,5.80099
5.0,2.0,1.7,80.0,3.0,2.0,6.3024,13.0262,,,
5.0,2.0,1.7,80.0,3.0,3.0,5.9107,15.98155,2.48216,4.50205,2.94494
5.0,2.0,1.7,80.0,3.0,5.0,5.8073,27.38335,1.35228,2.90724,1.79725
5.0,2.0,1.7,80.0,3.0,7.0,5.2297,38.48825,0.78984,1.93896,1.19145
5.0,2.0,1.7,80.0,3.0,10.0,5.5008,54.4442,0.38275,1.2246,0.70338
6.0,2.0,1.7,98.0,1.0,1.0,5.903,2.9515,5.47473,8.24743,5.45622
6.0,2.0,1.7,98.0,1.0,2.0,6.6017,9.20385,4.00329,6.70192,4.33618
6.0,2.0,1.7,98.0,1.0,3.0,5.7937,15.40155,2.69791,4.98572,3.18275
6.0,2.0,1.7,98.0,1.0,5.0,5.2866,26.3695,1.13219,2.7535,1.60714
6.0,2.0,1.7,98.0,1.0,7.0,5.0167,37.13875,0.62663,1.72413,1.01461
6.0,2.0,1.7,98.0,1.0,10.0,5.2859,52.36345,0.32745,1.0692,0.62132
6.0,2.0,1.7,98.0,2.0,1.0,7.8906,3.9453,5.47823,8.62219,5.71947
6.0,2.0,1.7,98.0,2.0,2.0,6.0371,10.90915,3.56679,6.42843,4.12092
6.0,2.0,1.7,98.0,2.0,3.0,5.8742,16.8648,2.42117,4.82767,3.06013
6.0,2.0,1.7,98.0,2.0,5.0,5.5135,28.21505,1.17705,2.91153,1.72655
6.0,2.0,1.7,98.0,2.0,7.0,5.0016,38.6774,0.64022,1.8726,1.10109
6.0,2.0,1.7,98.0,2.0,10.0,5.2951,54.27355,0.28275,1.09335,0.60834
6.0,2.0,1.7,98.0,3.0,1.0,6.9484,3.4742,5.78432,8.92085,6.06451
6.0,2.0,1.7,98.0,3.0,2.0,6.0385,9.96765,3.6202,6.44803,4.25551
6.0,2.0,1.7,98.0,3.0,3.0,5.8539,15.91385,2.41999,4.74623,3.09301
6.0,2.0,1.7,98.0,3.0,5.0,5.5324,27.0493,1.21139,2.94292,1.8059
6.0,2.0,1.7,98.0,3.0,7.0,5.0071,37.90815,0.64136,1.87057,1.12796
6.0,2.0,1.7,98.0,3.0,10.0,5.4093,53.45005,0.28438,1.05788,0.61056
7.0,2.0,1.7,89.0,1.0,1.0,4.546,2.273,5.94793,8.94292,6.33908
7.0,2.0,1.7,89.0,1.0,2.0,6.7579,7.92495,3.94487,6.70834,4.57343
7.0,2.0,1.7,89.0,1.0,3.0,5.7671,14.18745,2.67041,4.87852,3.29973
7.0,2.0,1.7,89.0,1.0,5.0,6.1602,26.2076,1.27499,2.7765,1.77161
7.0,2.0,1.7,89.0,1.0,7.0,5.327,38.8955,0.83221,2.03727,1.30133
7.0,2.0,1.7,89.0,1.0,10.0,5.1264,56.0551,0.3932,1.21601,0.73548
7.0,2.0,1.7,89.0,2.0,1.0,7.6073,3.80365,5.38812,8.44418,5.92492
7.0,2.0,1.7,89.0,2.0,2.0,6.7798,10.9972,2.98803,5.48398,3.60286
